framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
BPM+,General,Description,BPM_DESC,header,"BPM+ Clinical Practice Guideline Adoption Readiness Assessment and Maturity Model: BPM+ Adoption",,Description,header_text,
BPM+,General,Description,BPM_DESC_1,description,,1,"Ad Hoc - Adoption of clinical pathways is inconsistent.",maturity_description,
BPM+,General,Description,BPM_DESC_2,description,,2,"Regular pattern - Adoption processes are repeatable within a organizational unit (ward, lab, etc.) No consistent process across the organization",maturity_description,
BPM+,General,Description,BPM_DESC_3,description,,3,"Process, adoption approach defined & documented; standardized across the organization; foundation to achieve process goals. Adoption support (training, change management, conformance discipline, and governance), is provided to work units. Organizational consistency in approach toward processes (configure/adapt to specific needs, adoption, assurance)",maturity_description,
BPM+,General,Description,BPM_DESC_4,description,,4,"Measured, monitored and controlled - Adoption process is measured and analyzed for efficiencies and efficacy",maturity_description,
BPM+,General,Description,BPM_DESC_5,description,,5,"Continuous process improvement - Metrics-based - Pervasive understanding, use of BPM+ - When established adoption processes do not meet objectives, innovative practices are employed.",maturity_description,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP,question,"Institutional Standards/Guidelines/Policies",,,question_text,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP_1,assessment,,1,"Reactive vs proactive - Limited or no structured advocacy - Where there is advocacy, it is driven by 'champions' and not institutional commitment",maturity_scale_1_5,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP_2,assessment,,2,"Organizational unit buy-in toward pathway adoption; sporadic recognized need for clinical guidelines in certain situations - Inconsistent implementation across the organization - Beginnings of institutional priorities around pathway adoption (emerging policies, funding change management, executive commitment)",maturity_scale_1_5,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP_3,assessment,,3,"Institutional authorities use a documented, standardized, consistent approach for evaluation and acceptance of clinical guidelines - Policies in place addressing change management, knowledge management, metrics, organization-wide training, security, and measurement as related to guidelines and their adoption - Funding and executive support in place for necessary resources to address institutional adoption, compliance, and governance",maturity_scale_1_5,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP_4,assessment,,4,"Adoption is audited to ensure compliance with adoption policies - Metrics used to drive and continuously improve processes and adoption outcomes - Systemic governance oversees virtuous cycle of deployment, measurement, feedback, and improvement (processes, systems, training), building organizational trust.",maturity_scale_1_5,
BPM+,Institutional Standards/Guidelines/Policies,,BPM_ISGP_5,assessment,,5,"Ability to easily and appropriately adjust guidelines to incorporate emerging best-practices with a focus on quality, efficiency, consistency - Organizational support for identifying and evaluating innovative adoption techniques. Infrastructure in place to capturing innovation ideas",maturity_scale_1_5,
BPM+,Stakeholder Management,,BPM_SM,question,"Stakeholder Management (patient/caregiver(s), clinical staff, allied health professionals, payors external)",,,question_text,
BPM+,Stakeholder Management,,BPM_SM_1,assessment,,1,"Limited understanding of stakeholders needs and goals",maturity_scale_1_5,
BPM+,Stakeholder Management,,BPM_SM_2,assessment,,2,"Understanding of stakeholders needs, interactions, and roles vary by department, program, or project. - Organizational units recognize patients/caregivers as stakeholders - Inconsistent inclusion of patient priorities in process design and decision planning - Growing organizational awareness of the need and value of stakeholder management",maturity_scale_1_5,
BPM+,Stakeholder Management,,BPM_SM_3,assessment,,3,"Iteratively identify, document, and implement change management consistently incorporating stakeholders into pathway processes - Establish accountability with authority to oversee and apply stakeholder management across the Enterprise - Patient needs explicitly included in the process design and patient-facing tools; direct and consistent patient advocacy participation - Standard approach to measurement of stakeholder engagement",maturity_scale_1_5,
BPM+,Stakeholder Management,,BPM_SM_4,assessment,,4,"Expansion of standardization tools, templates and processes to new domains and stakeholder groups - Constant monitoring, analysis, and improvement cycle. - Stakeholders proactively engage with pathway adoption to continuously improve process - Impact on patient experience and outcome efficacy consistently considered",maturity_scale_1_5,
BPM+,Stakeholder Management,,BPM_SM_5,assessment,,5,"When established stakeholder involvement methods do not meet objectives, innovative practices are employed - Self-organizing communities of practice meet regularly and inform a learning health system",maturity_scale_1_5,
BPM+,Adoption Processes,,BPM_AP,question,"Adoption Processes",,,question_text,
BPM+,Adoption Processes,,BPM_AP_1,assessment,,1,"Patchy and inconsistent adoption processes across the organization - Implementation approaches vary by organizational unit; limited documentation",maturity_scale_1_5,
BPM+,Adoption Processes,,BPM_AP_2,assessment,,2,"Adoption processes have limited rigor, vary across organizational units; limited repeatability within organizational units - Staff, resources, and time committed but insufficient for consistent organizational adoption; ability to support work commitments.",maturity_scale_1_5,
BPM+,Adoption Processes,,BPM_AP_3,assessment,,3,"Standardized, centralized, documented approach to adoption processes across the enterprise; - Repeatable, documented methods to localize guidelines to meet project-specific quality, efficiency, efficacy needs. Includes mapping of relevant data and workflows; routine review & update of pathways - Staff, resources, and time committed and sufficient for consistent organizational adoption; ability to support work commitments.",maturity_scale_1_5,
