framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
ECMM-F,Governance and Leadership,Technical Governance,ECMM_F_GL_TG_1,assessment,,1,Official Health Information Technology (HIT) governance structures are not clearly established. HIT is not a regular part of fiscal planning processes.,maturity_scale_1_5,WC1
ECMM-F,Governance and Leadership,Technical Governance,ECMM_F_GL_TG_2,assessment,,2,"HIT lifecycle management policies for equipment, software, infrastructure, etc. are emerging. HIT fiscal budgeting roles are defined, and HIT is a part of fiscal planning.",maturity_scale_1_5,WC1
ECMM-F,Governance and Leadership,Technical Governance,ECMM_F_GL_TG_3,assessment,,3,"HIT performance metrics have been identified and are regularly tracked and reported to appropriate leadership. Facility is able to follow policies for lifecycle management for equipment, software, infrastructure, etc. Facility is establishing processes for redundancy to support failures and planning for necessary equipment. Technical support positions are adequately funded.",maturity_scale_1_5,WC1
ECMM-F,Governance and Leadership,Technical Governance,ECMM_F_GL_TG_4,assessment,,4,"Leadership routinely gets reports concerning HIT needs. Facility is adequately resourced to support HIT. Redundancy is in place for failover recovery, testing, and immediate replacement of failed devices. Funded HIT staffing levels are sufficient to cover all business hours and after-hours emergencies.",maturity_scale_1_5,WC1
ECMM-F,Governance and Leadership,Technical Governance,ECMM_F_GL_TG_5,assessment,,5,"HIT Governance is included in decision making process for technology decisions. HIT budgeting is based on the up-to-date needs of the organization. Adequate funds are available to address HIT support and equipment risks. Any security controls are vetted by governance group. Facility regularly refreshes IT equipment, software, infrastructure, etc. per policy.",maturity_scale_1_5,WC1
ECMM-F,Governance and Leadership,Technical Policy and Framework,ECMM_F_GL_TPF_1,assessment,,1,"Each facility is operating within their own understanding of best practices and Standard Operating Procedures (SOPs). There may be some ad hoc infusion of organization-level policy at a facility. Facility has no or limited use of organization-level planning, compliance, or assessment tools.",maturity_scale_1_5,
ECMM-F,Governance and Leadership,Technical Policy and Framework,ECMM_F_GL_TPF_2,assessment,,2,"Facility is aware of the organization-level policies. Coordination with the organization level is beginning to emerge. Facility policy needs are being identified, and there is an action plan to address needs.",maturity_scale_1_5,
ECMM-F,Governance and Leadership,Technical Policy and Framework,ECMM_F_GL_TPF_3,assessment,,3,"Comprehensive HIT portfolio of policies is established. Facility knows the specific organization-level location to gather policy information, guidance and support for application at the facility. Any gaps in organizational policies are filled in by the facility for their own use. Identified technology and/or policy gaps are shared with the organization.",maturity_scale_1_5,
ECMM-F,Governance and Leadership,Technical Policy and Framework,ECMM_F_GL_TPF_4,assessment,,4,Facility follows the compliance program and monitors and enforces user compliance. Facility provides input to the organization's best practices and policies.,maturity_scale_1_5,
ECMM-F,Governance and Leadership,Technical Policy and Framework,ECMM_F_GL_TPF_5,assessment,,5,Facility has an equal voice in informing policies and updates as needs and context change at the facility.,maturity_scale_1_5,
