framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
ECMM-O,Governance and Leadership,Technical Governance,ECMM_O_GL_TG_1,assessment,,1,Decisions are made on an ad hoc basis. There is limited or no fiscal planning for Health Information Technology (HIT) investments.,maturity_scale_1_5,WC1
ECMM-O,Governance and Leadership,Technical Governance,ECMM_O_GL_TG_2,assessment,,2,Governance processes are being developed at an Organizational level. Standard Operating procedures (SOPs) for decision making and financial decisions are in development. Initial metrics are being established.,maturity_scale_1_5,WC1
ECMM-O,Governance and Leadership,Technical Governance,ECMM_O_GL_TG_3,assessment,,3,HIT Governance structure is established at an organizational level and it includes clear roles and responsibilities. Governance SOPs are in place and are endorsed. Decision-making processes are defined. Metrics are vetted by appropriate stakeholders and consistent with strategic planning. Plans are developed to identify adequate staffing and fiscal needs.,maturity_scale_1_5,WC1
ECMM-O,Governance and Leadership,Technical Governance,ECMM_O_GL_TG_4,assessment,,4,Governance is implemented for routine decision making. Routine metric reporting is in place and is shared with appropriate stakeholders. Human and fiscal resourcing plans are monitored.,maturity_scale_1_5,WC1
ECMM-O,Governance and Leadership,Technical Governance,ECMM_O_GL_TG_5,assessment,,5,Repeatable processes are used for decision making with appropriate engagement of stakeholders. Metrics are used in decision making. Metrics are regularly reviewed and modified to meet changing business needs. Human and fiscal resourcing plans are monitored and modified based on ongoing review. HIT Governance structure is regularly reviewed to make sure it supports facilities.,maturity_scale_1_5,WC1
ECMM-O,Governance and Leadership,Technical Policy and Framework,ECMM_O_GL_TPF_1,assessment,,1,Policies may or may not exist; those that exist are IT focused/not Electronic Medical Record - Health Information Technology (EMR-HIT) focused. Users are unaware of existing policies. No monitoring/compliance framework is in place. Any policies that exist are not evidence-based/best practice based.,maturity_scale_1_5,
ECMM-O,Governance and Leadership,Technical Policy and Framework,ECMM_O_GL_TPF_2,assessment,,2,"An overall monitoring/compliance framework is emerging and policies (i.e. data standards, interoperability, HIT use, privacy/security/confidentiality, infrastructure, data ownership and quality, and data use agreements) are being drafted. There is an action plan in place to prioritize and address any policy gaps. Facilities are providing input to the compliance framework and policies.",maturity_scale_1_5,
ECMM-O,Governance and Leadership,Technical Policy and Framework,ECMM_O_GL_TPF_3,assessment,,3,A comprehensive HIT portfolio of policies is established and shared with facilities. Basic monitoring/compliance is in place. Facilities are able to locate and access policies and processes established at the organization-level. Users are trained on the policies as a part of the core HIT training that they receive. Facilities are able to reach out to the organization level for support of policy implementation.,maturity_scale_1_5,
ECMM-O,Governance and Leadership,Technical Policy and Framework,ECMM_O_GL_TPF_4,assessment,,4,"Portfolio of policies is governed by an organized body (i.e. data standards, interoperability, HIT use, privacy/security/confidentiality, infrastructure, data ownership and quality, and data use agreements). There is an established change management process for policy development, maintenance, and training. Compliance framework is comprehensive, measurable, and actionable, and timely action is taken to improve compliance.",maturity_scale_1_5,
ECMM-O,Governance and Leadership,Technical Policy and Framework,ECMM_O_GL_TPF_5,assessment,,5,Policies are reviewed regularly by the governing body. Policies are updated to reflect best practices and standards and changing HIT ecosystem in terms of new clinical practices and technology. Portfolio is used to guide strategic planning.,maturity_scale_1_5,
ECMM-O,Governance and Leadership,Security Privacy and Confidentiality,ECMM_O_GL_SPC_1,assessment,,1,"Policies for privacy, security, and confidentiality are missing, outdated, or have not been shared with the facilities.",maturity_scale_1_5,"WC1,WC3,WC4,WC5"
ECMM-O,Governance and Leadership,Security Privacy and Confidentiality,ECMM_O_GL_SPC_2,assessment,,2,"Regulations and/or legislation that apply to privacy, security, or confidentiality while capturing, storing, or using clinical and health data are identified and interpreted. Policies and processes to support and enforce compliance are drafted at the facility or organization level. System and process security, privacy, and confidentiality requirements are identified. Training is being planned.",maturity_scale_1_5,"WC1,WC3,WC4,WC5"
ECMM-O,Governance and Leadership,Security Privacy and Confidentiality,ECMM_O_GL_SPC_3,assessment,,3,Organizational policies to support compliance are rolled out to facilities. There are processes in place for handling breaches. Training is available and participation is tracked.,maturity_scale_1_5,"WC1,WC3,WC4,WC5"
ECMM-O,Governance and Leadership,Security Privacy and Confidentiality,ECMM_O_GL_SPC_4,assessment,,4,"Communication processes are in place to communicate changes in security, privacy, and confidentiality expectations. There are processes in place to proactively monitor regulation and legislation practices to ensure compliance is maintained. Employees understand that everyone is responsible for compliance.",maturity_scale_1_5,"WC1,WC3,WC4,WC5"
ECMM-O,Governance and Leadership,Security Privacy and Confidentiality,ECMM_O_GL_SPC_5,assessment,,5,"There are processes in place to review a system (technology and processes) on a regular basis to ensure compliance. There are processes in place to evaluate compliance when selecting, building, or configuring software, and establishing business processes and procedures that will be used with that software.",maturity_scale_1_5,"WC1,WC3,WC4,WC5"
