framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1,heading,Data Sources,,,,,,,,,Data collection mechanisms and technologies. Structured data refers to content that has a predefined structure and is normally classified and stored in a traditional relational database. Unstructured data refers to different types of content that that is not classified in a standard manner.
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.1,maturity_question,Data Sources,scale,Data is not collected and some data is available from external estimations (international organizations),"Date is sometimes obtained from few sources, largely using paper-based methods, although a few simple electronic tools like spreadsheets may be used for some data sources. Data frequently has limited utility because of quality or disaggregation issues. Some indicators definitions are defined but not easily accessible/shared.","Health data are routinely from key data sources. Data is collected electronically using a variety of tools like spreadsheets, databases and electronic client-based information systems. Integration from different sources is often a manual process, and may be constrained by comparability issues.",Health data is derived routinely and timely form all key data sources. The country carries out proactive activities to improve data collection processes. Some data is available in near-real time to support decision-making.,Data from multiple data source types incl. unstructured sources such as social media and various types of devices (IoT) are used in health analysis. Large data sets integrated from multiple sources are readily available for analysis to support decision making.,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2,subheading,"For each structured key data source, identify how often data is collected/updated.",,,,,,,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.1,maturity_question,Individual health records,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.2,maturity_question,Health service (production) records,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.3,maturity_question,Public Health Surveillance,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.4,maturity_question,Health infrastructure and facilities information,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.5,maturity_question,Human resources information,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.6,maturity_question,Materials and supplies information,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_COUNTRY,Data Management and Information Technology,Data Sources,DMIT_2.1.2.7,maturity_question,Financial information,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
