framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1,heading,Data Sources,,,,,,,,,Data collection mechanisms and technologies. Structured data refers to content that has a predefined structure and is normally classified and stored in a traditional relational database. Unstructured data refers to different types of content that that is not classified in a standard manner.
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,maturity_question,Data Sources,scale,Health data are not collected.,"Health data is sometimes obtained from few sources, largely using paper-based methods, although a few simple electronic tools like spreadsheets may be used for some data sources. Data frequently has limited utility because of quality issues. Some indicators definitions are defined but not easily accessible/shared.","Health data are routinely from key data sources. Data is collected electronically using a variety of tools like spreadsheets, databases and client-based information systems. Integration from different sources is often a manual process, and may be constrained by comparability issues.",Health data is derived routinely and timely from all key data sources. The institution carries out proactive activities to improve data collection processes. Some data is available in near-real time to support decision-making.,Data from multiple data source types incl. unstructured sources such as social media and various types of devices (IoT) are used in health analysis. Large data sets integrated from multiple sources are readily available for analysis to support decision making.,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2,subheading,CENSUS,,,,,,,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2.1,question,When is the next census planned?,,,,,,,text,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2.2,question,When was the last census?,,,,,,,text,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,maturity_question,Information needs have been identified,scale,not identified,identified and needs often change based on individual decisions,data needs are being defined based on entity needs and on accessible methodology (rational) for data needs that ensures sustainability,"data needs are being defined based on entity needs and on accessible methodology (rational for each indicator) for data needs that ensure sustainability, flexible to include new information needs, mechanism in place to ensure that overlapping data needs are harmonized within institution","identified and continously efficiently adapting to new needs, flexible and harmonized",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.4,maturity_question,Data sources for information needs have been defined,scale,not defined,identified and needs often change based on individual decisions,data sources are being defined based on entity needs that mostly allows data comparability,data sources are being defined based on entity needs that ensures comparability,defined and continously efficiently adopting to new sources incl. unstructured data and ensuring comparability,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.5,maturity_question,A institutional data updating schedule is being defined and shared,scale,"not defined, ad hoc",data is collected project based only,Update schedule is defined but no compliance.,Update schedule defined and followed,Update schedule defined and shared with organization and countries,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6,subheading,"For indicators, identify how often data is collected and updated.",,,,,,,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.1,maturity_question,Regional Core Indicators,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.2,maturity_question,Health Related Sustainable Development Goals,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.3,maturity_question,Universal Health Coverage,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.4,maturity_question,Institutional Strategic Plan,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.5,maturity_question,Vital Statistics data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.6,maturity_question,Life Course and Family data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.7,maturity_question,Noncommunicable diseases data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.8,maturity_question,Communicable Diseases data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.9,maturity_question,Health Systems and Services data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.6.10,maturity_question,Health Emergencies data,scale,Not collected,Collected on demand or on an ad hoc basis as required.,Routinely collected based on a defined schedule.,"Routinely collected, some data available real time to support decision-making.",Routinely collected and available real time,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7,subheading,"For indicators, identify how is data collected (format):",,,,,,,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.1,maturity_question,Regional Core Indicators,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.2,maturity_question,Health Related Sustainable Development Goals,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.3,maturity_question,Universal Health Coverage,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.4,maturity_question,Institutional Strategic Plan,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.5,maturity_question,Vital Statistics data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.6,maturity_question,Life Course and Family data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.7,maturity_question,Noncommunicable diseases data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.8,maturity_question,Communicable Diseases data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.9,maturity_question,Health Systems and Services data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.7.10,maturity_question,Health Emergencies data,scale,Not collected,Mostly paper-based with some electronic tools (e.g. spreadsheets) used.,"Some data is collected electronically, mostly using databases or other electronic client-based information systems. Data integration from various sites is done manually.",All data is collected electronically into integrated data repositories from multiple sites for specific data sources. Some data is available in real or near-real time for decision-making (e.g. dashboards).,"All data is collected and data sets are integrated across multiple sources (e.g. across different data sources or different institutions, or sub-institutional and institutional levels). All relevant data is available in real or near-real time for decision-making (e.g. dashboards).",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.8,subheading,"For indicators, disaggregation is available for the following variables (as dimensions for equity measurement):",,,,,,,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.8.1,maturity_question,Regional Core Indicators,scale,Not collected,"Sex, age","Sex, age, subnational level","Age by birth date, sex, subnational level, income level, education level","Age by birth date, sex, income level, education level and other equity characteristics relevant to country (e.g. ethnicity, migration status, disability, sexual identity, etc.) at lowest admin level",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.8.2,maturity_question,Health Related Sustainable Development Goals,scale,Not collected,"Sex, age","Sex, age, subnational level","Age by birth date, sex, subnational level, income level, education level","Age by birth date, sex, income level, education level and other equity characteristics relevant to country (e.g. ethnicity, migration status, disability, sexual identity, etc.) at lowest admin level",,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.8.3,maturity_question,Universal Health Coverage,scale,Not collected,"Sex, age","Sex, age, subnational level","Age by birth date, sex, subnational level, income level, education level","Age by birth date, sex, income level, education level and other equity characteristics relevant to country (e.g. ethnicity, migration status, disability, sexual identity, etc.) at lowest admin level",,,
