framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1,heading,Knowledge Processes (KM),,,,,,,,,"Knowledge management methodologies and mechanisms to improve decision-making, capture, share and measure institutional knowledge."
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.1,maturity_question,Knowledge Processes (KM),scale,"Knowledge sharing in the institution is ad hoc and institutional knowledge resides with key individuals rather that on repeatable processes documented in unit descriptions, job descriptions, policies and SOPs.","There are some basic knowledge management mechanism and processes (e.g. formal meeting notes, trip reports, SOPs, documentation etc.) in place but not always accessible and updated and are not required in policy or practice.","There are numerous knowledge management processes defined (lessons learned, trip reports, mentoring, shadowing, etc.) guided by formal policies and procedures. There is a formal basic KM strategy at the institutional level","Knowledge management sharing is integrated into business processes, job descriptions and institutional functions. Metrics are used to quantitatively measure institutional knowledge management processes and capacities, and continuously improve performance.","Health authorities and their multisectoral partners are fully learning organizations: The institutional culture encourages the free-flow of knowledge throughout the organization, enabled by KM processes, tools and technology.",,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.2,maturity_question,There is an official institutional taxonomy for the classification of documents,scale,Not used,Awarded of them but not implemented,Defined and implemented in some entities,Formally defined and adopted institution-wide,Fully implemented institutionally,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.3,maturity_question,Use of Knowledge Managment metrics,scale,There are no metrics on the use of KM tools,There are some metrics of use on some KM tools used for basic use reports to authorities,Metrics are used to quantitatively measure institutional knowledge management processes and capacities,Result of KM metrics is used for statistics and diagnosis,The result of KM metrics Are used to improve performance,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.4,maturity_question,Knowledge transfer from experienced to new staff is,scale,Not practiced,Practiced ad hoc as an individual initiative,Process and/or SOP under development,"Part of the institutional policy, but not consistently practiced",Part of the Institutional policy and fully implemented,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.5,maturity_question,Institutional knowledge is shared,scale,Not shared,"On demand and in person, is an individual voluntary process based on confidence",Some teams/units/departments do as part of their institutional processes,Formal process under development in the entire organization,Established in a formal process and operationalized among areas of the organization,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.6,maturity_question,There is a coaching and mentoring program,scale,Not existent,Practiced ad hoc as an individual initiative,"Some teams/units/departments are developing a program, currently informal initiatives",Most teams/units/departments have a program in place,In process of implementation through all the institution,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7,subheading,There are established KM institutional methodologies for:,,,,,,,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.1,maturity_question,Preservation of the institutional memory,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.2,maturity_question,Open access/open source,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.3,maturity_question,Research for health,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.4,maturity_question,Repositories,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.5,maturity_question,Information access,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.6,maturity_question,Editorial or publishing,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
IS4H_ORG,Knowledge Management and Sharing,Knowledge Processes (KM),KMO_3.1.7.7,maturity_question,Mentoring,scale,No,"On demand and in person, is an individual voluntary process based on confidence","Some teams/units/departments have, as part of their institutional processes",Formal process under development in the entire institution,Established in a formal process and operationalized among areas of the organization with continuous improvement,,,
