framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1,heading,Leadership and Coordination,,,,,,,,,Coordination and distribution of the governance structure for IS4H accountability and decision-making at the managerial and technical level among all actors.
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,maturity_question,Leadership and Coordination,scale,"Accountability and decision-making for IS4H components is distributed across different units within institutional authorities, and investments and activities are not coordinated.",IS4H investment decisions are coordinated at the management level within individual authorities but not formally coordinated among other institutional entities.,There is a formal governance structure in place for strategic planning and oversight of IS4H among the institutional entities,"IS4H governance structures are established at the institutional level across at least some key national stakeholders (e.g. health authorities, national IT authorities, vital Statistics, national statistics authorities)",The governance and management of IS4H is fully transparent and integrated across all national stakeholder institutions.,,,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,maturity_question,Roles and functions of key institutional actors are formally documented and mapped.,scale,No mapping or documentation exist. Knowledge of roles and functions of information system actors resides in individuals.,Individual entities have mapped the roles and functions of some key roles but not shared at the institutional level.,There is a formal roster of instititutional information system actors documented and available.,There is a formal roster of institutional information system actors with a mapping of roles and relationships.,"Health information system functions, roles and responsibilities are mapped, integrated and aligned across institution.",,,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.3,maturity_question,"Decisions mechanisms for IS4H strategic priorities, investments and technical approaches.",scale,Decision for IS4H are only addressed at the unit level,"There is no formal governance structure within the institution, but IS4H issues are routinely discussed within the Institution's executive leadership body.",There is a formal IS4H governance structure within the institution in adoption.,There is an institutional governance structure with key institutional managerial stakeholders implemented in most entities.,The institutional governance structure is fully integrated with the IS4H governance structure in entire the institution.,,,
IS4H_ORG,Management and Governance,Strategic and Operational Plans,MGO_1.2,heading,Strategic and Operational Plans,,,,,,,,,"Addressing IS4H under policies, strategies and SOPs at the institutional level. Mechanisms for developing or adopting an IS4H governance strategy or policy that promotes a better decision- and informed policy-making mechanisms."
IS4H_ORG,Management and Governance,Strategic and Operational Plans,MGO_1.2.1,maturity_question,Strategic and Operational Plans,scale,There is no current Institutional Strategic IS4H Plan and IS4H components are not reflected in operational plans.,"There is a institutional Strategic IS4H Plan, but it does not address IS4H. Some individual teams/units/departments include some components of IS4H in their operational plans.",There is a current institutional Strategic IS4H Plan that includes priorities for strengthening health information. IS4H is included within operational plans of institution,There is a formal strategic plan in place among institutional authorities for strengthening IS4H that reflects the IS4H Strategic Framework. Operational plans of the units/departments within institution reflect IS4H activities and outcomes based on the IS4H Strategic Plan.,"There is an institutional Strategic IS4H Plan, and operational plans are aligned and integrated across multisectoral stakeholders.",,,
IS4H_ORG,Management and Governance,Strategic and Operational Plans,MGO_1.2.2,maturity_question,There is an institutional IS4H Strategic Plan.,scale,There is no current Institutional Strategic IS4H Plan.,"There is a current Institutional Strategic IS4H Plan, but it does not address components of IS4H.",There is a current Institutional Strategic IS4H Plan that includes a priority for strengthening health information that reflects two or more strategic domains within the IS4H framework.,There is a formal strategic plan in place among institutional authorities for strengthening IS4H that reflects all of the domains in the IS4H Strategic Framework,There is a comprehensive Institutional Strategic IS4H Plan that includes strategic goals and initiatives from multi-sectoral partners.,,,
IS4H_ORG,Management and Governance,Strategic and Operational Plans,MGO_1.2.3,maturity_question,There is an institutional IS4H operational plan.,scale,IS4H components are not reflected in operational plans.,Some teams/units/departments are are developing their operational plans to include IS4H components.,IS4H is specifically included within the operational plan of some teams/units/departments,IS4H is specifically included within the operational plan of most teams/units/departments,IS4H operational is fully aligned with Institutional IS4H Strategic Plan of the Institution.,,,
IS4H_ORG,Management and Governance,Institutional Structure and Functions,MGO_1.3,heading,Institutional Structure and Functions,,,,,,,,,"institutional structure & information flows of health-related institutions, roles and responsibilities of IS4H actors."
IS4H_ORG,Management and Governance,Institutional Structure and Functions,MGO_1.3.1,maturity_question,Institutional Structure and Functions,scale,"Some IS4H functions are formally defined and performed, but there are significant gaps","There are gaps in IS4H services or functions, and/or services and functions may be duplicated across teams/units/departments.","Accountability and responsibility for IS4H functions within institution have been defined, and there are plans in place for institutional restructuring or re-alignment to rationalize functions and decision-making.","An institutional structure that defines clear accountabilities and responsibilities for IS4H has been fully implemented within institution, and is reflected in unit/program mandates and job descriptions.","IS4H functions are defined, performed and aligned across stakeholders. Functions are integrated across stakeholders, optimizing performance, value and investments at the institutional level.",,,
