framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1,heading,Knowledge Processes,,"Knowledge management methodologies and mechanisms to improve decision-making, capture, share and measure organizational knowledge.",,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.1,question,Knowledge Processes,1,"Knowledge sharing in the organization is ad hoc and Organizational knowledge resides with key individuals rather that on repeatable processes documented in unit descriptions, job descriptions, policies and SOPs.",scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.1,question,Knowledge Processes,2,"There are some basic knowledge management mechanism and processes (e.g. formal meeting notes, trip reports, SOPs, documentation etc.) in place but not always accessible and updated, but these are not required in policy or practice.",scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.1,question,Knowledge Processes,3,"There are numerous knowledge management processes defined (lessons learned, trip reports, mentoring, shadowing, etc.) guided by formal policies and procedures. There is a formal basic KM strategy at the organizational level",scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.1,question,Knowledge Processes,4,"Knowledge management sharing is integrated into business processes, job descriptions and organizational functions. Metrics are used to quantitatively measure organizational knowledge management processes and capacities, and continuously improve performance.",scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.1,question,Knowledge Processes,5,"Health authorities and their multisectoral partners are fully learning organizations: The organizational culture encourages the free-flow of knowledge throughout the organization, enabled by KM processes, tools and technology.",scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.2,question,There is an official institutional taxonomy for the classification of documents,1,Not used,scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.2,question,There is an official institutional taxonomy for the classification of documents,2,Awarded of them but not implemented,scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.2,question,There is an official institutional taxonomy for the classification of documents,3,Defined and implemented in some facilities,scale,
IS4H_COUNTRY,Knowledge Management and Sharing,Knowledge Processes,KMSH_3.1.2,question,There is an official institutional taxonomy for the classification of documents,4,Formally defined and adopted institution wide,scale,
