framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
IS4H_ORG,Innovation,Key Concepts,INO_4.1,heading,Key Concepts,,"Leadership and staff awareness and knowledge of IS4H key concepts: big data, open data, predictive analytics, social analytics, forecasting, modelling, and more…",,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.1,question,Key Concepts,1,Leadership and staff are not familiar with IS4H concepts.,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.1,question,Key Concepts,2,"While some IS4H concepts are understood, leadership and staff are not widely aware of all concepts.",scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.1,question,Key Concepts,3,Most leadership and staff have an understanding IS4H concepts. There are recent assessments that demonstrate strong digital literacy among most leadership and staff.,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.1,question,Key Concepts,4,"Knowledge of IS4H Key Concepts and digital literacy is high among leadership and staff, and there is evidence that these concepts are routinely applied in practice at all levels of the institution.",scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.1,question,Key Concepts,5,"Knowledge of IS4H Key Concepts and digital literacy is high among leadership and staff, and there is evidence that these concepts are routinely applied in practice at all levels and across sectors.",scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.2,question,Leadership and staff have awareness of IS4H concepts,1,Beginner,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.2,question,Leadership and staff have awareness of IS4H concepts,2,Developing (awareness among leadership and staff of the basic concepts),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.2,question,Leadership and staff have awareness of IS4H concepts,3,Competent (IS4H skills strengthening is part of a training program),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.2,question,Leadership and staff have awareness of IS4H concepts,4,Advanced (Continuous capacity building framework on IS4H in place),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.2,question,Leadership and staff have awareness of IS4H concepts,5,Expert (Health staff and leadership incorporate functionally their IS4H Knowledge in their routine activities),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.3,question,Leadership and Staff are digitally literate,1,Beginner,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.3,question,Leadership and Staff are digitally literate,2,Developing (awareness among leadership and staff of basic concepts),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.3,question,Leadership and Staff are digitally literate,3,Competent (Digital Literacy strengthening is part of a training program),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.3,question,Leadership and Staff are digitally literate,4,Advanced (Continuous capacity building framework Digital Literacy in place),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.3,question,Leadership and Staff are digitally literate,5,Expert (Health staff and leadership develop functionally in the information society),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4,subheading,Key concepts knowledge levels are:,,,,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.1,question,Open government,1,Beginner,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.1,question,Open government,2,Developing (awareness among leadership and staff of basic concepts),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.1,question,Open government,3,Competent (concept strengthening is part of a training program),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.1,question,Open government,4,Advanced (Continuous capacity building framework includes concept),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.1,question,Open government,5,Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.2,question,Big data,1,Beginner,scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.2,question,Big data,2,Developing (awareness among leadership and staff of basic concepts),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.2,question,Big data,3,Competent (concept strengthening is part of a training program),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.2,question,Big data,4,Advanced (Continuous capacity building framework includes concept),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.2,question,Big data,5,Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),scale,
IS4H_ORG,Innovation,Key Concepts,INO_4.1.4.3,question,Internet of Things,1,Beginner,scale,
