framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1,heading,Leadership and Coordination,,Coordination and distribution of the governance structure for IS4H accountability and decision-making at the managerial and technical level among all actors.,,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,question,Leadership and Coordination,1,"Accountability and decision-making for IS4H components is distributed across different units within institutional authorities, and investments and activities are not coordinated.",scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,question,Leadership and Coordination,2,IS4H investment decisions are coordinated at the management level within individual authorities but not formally coordinated among other institutional entities.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,question,Leadership and Coordination,3,There is a formal governance structure in place for strategic planning and oversight of IS4H among the institutional entities,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,question,Leadership and Coordination,4,"IS4H governance structures are established at the institutional level across at least some key national stakeholders (e.g. health authorities, national IT authorities, vital Statistics, national statistics authorities)",scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.1,question,Leadership and Coordination,5,The governance and management of IS4H is fully transparent and integrated across all national stakeholder institutions.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,question,Roles and functions of key institutional actors are formally documented and mapped.,1,No mapping or documentation exist. Knowledge of roles and functions of information system actors resides in individuals.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,question,Roles and functions of key institutional actors are formally documented and mapped.,2,Individual entities have mapped the roles and functions of some key roles but not shared at the institutional level.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,question,Roles and functions of key institutional actors are formally documented and mapped.,3,There is a formal roster of instititutional information system actors documented and available.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,question,Roles and functions of key institutional actors are formally documented and mapped.,4,There is a formal roster of institutional information system actors with a mapping of roles and relationships.,scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.2,question,Roles and functions of key institutional actors are formally documented and mapped.,5,"Health information system functions, roles and responsibilities are mapped, integrated and aligned across institution.",scale,
IS4H_ORG,Management and Governance,Leadership and Coordination,MGO_1.1.3,question,"Decisions mechanisms for IS4H strategic priorities, investments and technical approaches.",1,Decision for IS4H are only addressed at the unit level,scale,
