framework_id,domain,subdomain,item_id,item_type,question_text,maturity_level,text_english,response_type,scoring_note
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1,heading,Data Sources,,"Data collection mechanisms and technologies. Structured data refers to content that has a predefined structure and is normally classified and stored in a traditional relational database. Unstructured data refers to different types of content that that is not classified in a standard manner.",,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,question,Data Sources,1,Health data are not collected.,scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,question,Data Sources,2,"Health data is sometimes obtained from few sources, largely using paper-based methods, although a few simple electronic tools like spreadsheets may be used for some data sources. Data frequently has limited utility because of quality issues. Some indicators definitions are defined but not easily accessible/shared.",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,question,Data Sources,3,"Health data are routinely from key data sources. Data is collected electronically using a variety of tools like spreadsheets, databases and client-based information systems. Integration from different sources is often a manual process, and may be constrained by comparability issues.",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,question,Data Sources,4,"Health data is derived routinely and timely from all key data sources. The institution carries out proactive activities to improve data collection processes. Some data is available in near-real time to support decision-making.",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.1,question,Data Sources,5,"Data from multiple data source types incl. unstructured sources such as social media and various types of devices (IoT) are used in health analysis. Large data sets integrated from multiple sources are readily available for analysis to support decision making.",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2,subheading,CENSUS,,,,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2.1,question,When is the next census planned?,,,,text
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.2.2,question,When was the last census?,,,,text
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,question,Information needs have been identified,1,not identified,scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,question,Information needs have been identified,2,identified and needs often change based on individual decisions,scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,question,Information needs have been identified,3,data needs are being defined based on entity needs and on accessible methodology (rational) for data needs that ensures sustainability,scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,question,Information needs have been identified,4,"data needs are being defined based on entity needs and on accessible methodology (rational for each indicator) for data needs that ensure sustainability, flexible to include new information needs, mechanism in place to ensure that overlapping data needs are harmonized within institution",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.3,question,Information needs have been identified,5,"identified and continously efficiently adapting to new needs, flexible and harmonized",scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.4,question,Data sources for information needs have been defined,1,not defined,scale,
IS4H_ORG,Data Management and Information Technologies,Data Sources,DMO_2.1.4,question,Data sources for information needs have been defined,2,identified and needs often change based on individual decisions,scale,
