framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1,heading,Key Concepts,,,,,,,,,"Leadership and staff awareness and knowledge of IS4H key concepts: big data, open data, predictive analytics, social analytics, forecasting, modelling, and more…"
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.1,maturity_question,Key Concepts,scale,leadership and staff are not familiar with IS4H concepts,"While some IS4H concepts are understood, leadership and staff are not widely aware of all concepts.",Most leadership and staff have an understanding IS4H concepts. There are recent assessments that demonstrate strong digital literary among most leadership and staff.,"Knowledge of IS4H Key Concepts and digital literacy is high among leadership and staff, and there is evidence that these concepts are routinely applied in practice at all levels of the organization.","Knowledge of IS4H Key Concepts and digital literacy is high among leadership and staff, and there is evidence that these concepts are routinely applied in practice at all levels and across sectors.",,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.2,maturity_question,Leadership and staff have awareness of IS4H concepts,scale,Beginner,Developing (awareness among leadership and staff of the basic concepts),Competent (IS4H skills strengthening is part of a training program),Advanced (Continuous capacity building framework on IS4H in place),Expert (Health staff and leadership incorporate functionally their IS4H Knowledge in their routine activities),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.3,maturity_question,Leadership and Staff are digitally literate,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (Digital Literacy strengthening is part of a training program),Advanced (Continuous capacity building framework Digital Literacy in place),Expert (Health staff and leadership develop functionally in the information society),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4,subheading,Key concepts knowledge levels are:,,,,,,,,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4.1,maturity_question,Open government,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (concept strengthening is part of a training program),Advanced (Continuous capacity building framework includes concept),Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4.2,maturity_question,Big data,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (concept strengthening is part of a training program),Advanced (Continuous capacity building framework includes concept),Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4.3,maturity_question,Internet of Things,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (concept strengthening is part of a training program),Advanced (Continuous capacity building framework includes concept),Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4.4,maturity_question,Data management and governance,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (concept strengthening is part of a training program),Advanced (Continuous capacity building framework includes concept),Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),,,
IS4H_COUNTRY,Innovation,Key Concepts,INNO_4.1.4.5,maturity_question,Open data,scale,Beginner,Developing (awareness among leadership and staff of basic concepts),Competent (concept strengthening is part of a training program),Advanced (Continuous capacity building framework includes concept),Expert (Health staff and leadership incorporate functionally their conceptual knowledge in their routine activities),,,
