framework_id,domain,subdomain,item_id,item_type,question_text,response_type,maturity_1,maturity_2,maturity_3,maturity_4,maturity_5,scoring_note,maturity_level,text_english
IS4H_COUNTRY,Management and Governance,Leadership and Coordination,MGC_1.1,heading,Leadership and Coordination,,,,,,,,,Coordination and distribution of the governance structure for IS4H accountability and decision-making at the managerial and technical level among all actors.
IS4H_COUNTRY,Management and Governance,Leadership and Coordination,MGC_1.1.1,maturity_question,Leadership and Coordination,scale,"Accountability and decision-making for IS4H components is distributed across different units within national health authorities, and investments and activities are not coordinated.","IS4H investment decisions are coordinated at the management level within individual national health authorities (e.g., MOH, reginal health authorities, health facilities, etc.) but not formally coordinated among health authorities or other national actors.","There is a formal governance structure in place for strategic planning and oversight of IS4H among the national health authorities (e.g. MOH, regional health authorities, health facilities, etc.).","IS4H governance structures are established at the national level across at least some key national stakeholders (e.g. health authorities, national IT authorities, vital Statistics, national statistics authorities)",The governance and management of IS4H is fully transparent and integrated across all national stakeholder organizations.,,,
IS4H_COUNTRY,Management and Governance,Leadership and Coordination,MGC_1.1.2,maturity_question,Roles and functions of key national health system actors are formally documented and mapped.,scale,No mapping or documentation exist. Knowledge of roles and functions of health system actors resides in individuals,Individual institutions have mapped the roles and functions of some key stakeholders but not shared at the national level.,There is a formal roster of national health system actors (public and private) documented and available.,There is a formal roster of national health system actors (public and private with a mapping of roles and relationships.,"Health sector functions, roles and responsibilities are mapped, integrated and aligned across national health system actors.",,,
IS4H_COUNTRY,Management and Governance,Leadership and Coordination,MGC_1.1.3,maturity_question,"Decisions mechanisms for IS4H strategic priorities, investments and technical approaches.",scale,Decision for IS4H are only addressed at the unit/facility level,"There is no formal governance structure within the National Health Authority, but IS4H issues are routinely discussed within the National Health Authority executive leadership body.",There is a formal IS4H governance structure within the National Health Authority.,"There is a national governance structure that at a minimum includes National Health Authority, vital statistics authority, national statistics authority, and the national IT/e-gov authority.",The national governance structure is integrated with the IS4H governance structure s in national stakeholder organizations (e.g. organizational IS4H governance structure reference the national IS4H body in Terms of Reference or reporting structures).,,,
IS4H_COUNTRY,Management and Governance,Strategic and Operational Plans,MGC_1.2,heading,Strategic and Operational Plans,,,,,,,,,"Addressing IS4H under policies, strategies and SOPs at the national, regional and local level. Mechanisms for developing or adopting an IS4H governance strategy or policy that promotes a better decision- and informed policy-making mechanisms."
IS4H_COUNTRY,Management and Governance,Strategic and Operational Plans,MGC_1.2.1,maturity_question,Strategic and Operational Plans,scale,"There is no current National Health System Strategic Plan, and IS4H components are not reflected in operational plans.","There is a National Health System Strategic Plan, but it does not address IS4H. Some individual units/departments/facilities include some components of IS4H in their operational plans.",There is a current National Health System Strategic Plan that include priorities for strengthening health information. IS4H is included within operational plans of national health authorities.,There is a formal strategic plan in place among national health authorities for strengthening IS4H that reflects the IS4H Strategic Framework. Operational plans of the units within national health authorities reflect IS4H activities and outcomes based on the IS4H Strategic Plan.,"There is a National IS4H Strategic Plan, and operational plans are aligned and integrated across multisectoral stakeholders.",,,
IS4H_COUNTRY,Management and Governance,Strategic and Operational Plans,MGC_1.2.2,maturity_question,There is a National IS4H Strategic Plan.,scale,There is no current National Health System Strategic Plan.,"There is a current National Health System Strategic Plan, but it does not address components of IS4H.",There is a current National Health System Strategic Plan that includes a priority for strengthening health information that reflects two or more strategic domains within the IS4H framework.,There is a formal strategic plan in place among national health authorities for strengthening IS4H that reflects all of the domains in the IS4H Strategic Framework,There is a specific National IS4H Strategic Plan that include strategic goals and initiatives from multi-sectoral partners.,,,
IS4H_COUNTRY,Management and Governance,Strategic and Operational Plans,MGC_1.2.3,maturity_question,There are IS4H operational plans.,scale,IS4H components are not reflected in operational plans of the national health authority.,Some units/departments/facilities include some IS4H components in their individual operating plans.,IS4H is specifically included within the operational plans of national health authorities.,"IS4H is included within the operational plans of national health authorities, and is aligned with National IS4H Strategic Plan.","IS4H is included within the operational plans of multisectoral stakeholders, and aligned or integrated across stakeholders within the framework of the National IS4H Strategic Plan.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3,heading,Organizational Structures and Functions,,,,,,,,,Organizational Structure & Information flows of health-related institutions. Roles and responsibilities IS4H health system actors.
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.1,maturity_question,Organizational Structures and Functions,scale,"Some IS4H functions are formally defined and performed, but there are significant gaps","There are gaps in IS4H services or functions, and/or services and functions may be duplicated across units/programs.","Accountability and responsibility for IS4H functions within national health authorities have been defined, and there are plans in place for organizational restructuring or re-alignment to rationalize functions and decision-making.","An organizational structure that defines clear accountabilities and responsibilities for IS4H has been fully implemented within/among national health authorities, and is reflected in unit/program mandates and job descriptions.","IS4H functions are defined, performed and aligned across national stakeholders. Functions are integrated across national stakeholders, optimizing performance, value and investments at the national level.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.2,maturity_question,There is a documented and formally adopted organizational structure (organigram) for the national health authority (e.g. Ministry of Health and/or other national and sub-national health authorities).,scale,No formal organizational structure for the national health authorities are defined.,"Yes, but the organizational structure has not yet been formally approved or published.","Yes, but IS4H roles and responsibilities are not fully reflected.","Yes, with IS4H roles and responsibilities fully reflected.","Yes, with IS4H fully reflected and aligned with organizational structures across national multisectoral partners.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.3,maturity_question,The overall leadership and accountability for IS4H is defined within the organization is defined.,scale,"IS4H responsibility is not currently defined in the organization, and there is no clear leadership for IS4H.","Responsibility for IS4H is defined within national health authorities for individual components, but there is no clear overall leadership role defined.","Leadership for IS4H is defined, and there are formal plans for organizational re-structuring to clearly define roles and responsibilities within the national health authorities.","Responsibility for IS4H is defined and integrated within national health authorities, and leadership is well defined.",Leadership and accountabilities for IS4H are well defined across multi-sectoral national partners.,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.4,maturity_question,Change management program is integrated into the institutional culture-capacity.,scale,There is no awareness of the importance of change management at the leadership level.,"There is awareness of principles, but no organizational capacity to implement change management methodologies",Some capacity for change management but lack organizational resources,There are formal and efficient change management program unit or team.,Change management is an integral part of initiatives and projects,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.5,subheading,There are formally defined organizational functions for:,,,,,,,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.5.1,maturity_question,Information Technology Management,scale,Some IS4H functions formally present and performed with significant gaps.,"Most functions are performed but not formally defined, and/or their are overlapping accountabilities or duplication of efforts.","Functions are defined, and there are plans to address gaps and to align accountabilities.",Functions are fully defined and accountabilities are aligned within the national health authority,Functions are fully defined and accountabilities are aligned across national multisectoral partners,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.5.2,maturity_question,Information Management and Analysis,scale,Some IS4H functions formally present and performed with significant gaps.,"Most functions are performed but not formally defined, and/or their are overlapping accountabilities or duplication of efforts.","Functions are defined, and there are plans to address gaps and to align accountabilities.",Functions are fully defined and accountabilities are aligned within the national health authority,Functions are fully defined and accountabilities are aligned across national multisectoral partners,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.5.3,maturity_question,Health Informatics,scale,Some IS4H functions formally present and performed with significant gaps.,"Most functions are performed but not formally defined, and/or their are overlapping accountabilities or duplication of efforts.","Functions are defined, and there are plans to address gaps and to align accountabilities.",Functions are fully defined and accountabilities are aligned within the national health authority,Functions are fully defined and accountabilities are aligned across national multisectoral partners,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.5.4,maturity_question,Knowledge and Performance Management,scale,Some IS4H functions formally present and performed with significant gaps.,"Most functions are performed but not formally defined, and/or their are overlapping accountabilities or duplication of efforts.","Functions are defined, and there are plans to address gaps and to align accountabilities.",Functions are fully defined and accountabilities are aligned within the national health authority,Functions are fully defined and accountabilities are aligned across national multisectoral partners,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.6,subheading,There are policies and standard operating procedures defined to guide activities and processes within the IS4H core functions:,,,,,,,,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.6.1,maturity_question,Information Technology Management,scale,"There are few, if any, policies/SOPs defined to guide the activities and processes across IS4H domains.","There are some policies/SOPs defined to guide IS4H activities and processes, but many are out of date, or not formally adopted within national health authorities.","Specific gaps in policies/SOPs have been identified, and there are plans in progress to update and adopt policies/SOPs within national health authorities.",Policies/SOPs are well defined and formally adopted to guide IS4H activities and processes within the national health authorities.,"Policies/SOPs are to guide IS4H activities and processes, and are integrated and aligned across national multi-sectoral stakeholders.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.6.2,maturity_question,Information Management and Analysis,scale,"There are few, if any, policies/SOPs defined to guide the activities and processes across IS4H domains.","There are some policies/SOPs defined to guide IS4H activities and processes, but many are out of date, or not formally adopted within national health authorities.","Specific gaps in policies/SOPs have been identified, and there are plans in progress to update and adopt policies/SOPs within national health authorities.",Policies/SOPs are well defined and formally adopted to guide IS4H activities and processes within the national health authorities.,"Policies/SOPs are to guide IS4H activities and processes, and are integrated and aligned across national multi-sectoral stakeholders.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.6.3,maturity_question,Health Informatics,scale,"There are few, if any, policies/SOPs defined to guide the activities and processes across IS4H domains.","There are some policies/SOPs defined to guide IS4H activities and processes, but many are out of date, or not formally adopted within national health authorities.","Specific gaps in policies/SOPs have been identified, and there are plans in progress to update and adopt policies/SOPs within national health authorities.",Policies/SOPs are well defined and formally adopted to guide IS4H activities and processes within the national health authorities.,"Policies/SOPs are to guide IS4H activities and processes, and are integrated and aligned across national multi-sectoral stakeholders.",,,
IS4H_COUNTRY,Management and Governance,Organizational Structures and Functions,MGC_1.3.6.4,maturity_question,Knowledge and Performance Management,scale,"There are few, if any, policies/SOPs defined to guide the activities and processes across IS4H domains.","There are some policies/SOPs defined to guide IS4H activities and processes, but many are out of date, or not formally adopted within national health authorities.","Specific gaps in policies/SOPs have been identified, and there are plans in progress to update and adopt policies/SOPs within national health authorities.",Policies/SOPs are well defined and formally adopted to guide IS4H activities and processes within the national health authorities.,"Policies/SOPs are to guide IS4H activities and processes, and are integrated and aligned across national multi-sectoral stakeholders.",,,
IS4H_COUNTRY,Management and Governance,Financial Resources,MGC_1.4,heading,Financial Resources,,,,,,,,,"Budget for IS4H implementation, sustainability, investment. Resources mobilization plans and ERP systems."
